,contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop,runningpop
735,CAN,Canada,Mature economies,1987,I,wyd,1,1988,6,2.6895,13101.0,14401,13931.711995178908,26127.9375,26.895,3846.1545595000034
2966,JPN,Japan,Mature economies,1988,I,wyd,1,1988,7,12.2613,13175.0,12709,12993.78828708804,24021.92578125,122.613,3858.4158595000035
1817,FRA,France,Mature economies,1989,I,wyd,1,1988,8,5.7668932,13195.0,10674,13408.86583479267,23767.998046875,57.668932,3864.1827527000037
829,CHL,Chile,L. America & Carib.,1987,I,povcal,1,1988,10,1.2733409,13336.0,2939,3125.4905778688753,5939.54443359375,12.733409,3865.456093600004
1406,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,7,0.5129516,13387.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3865.969045200004
1888,GBR,United Kingdom,Mature economies,1986,I,wyd,1,1988,9,5.6928328,13674.0,8978,11262.25187198989,20009.89453125,56.928328,3871.661878000004
175,AUT,Austria,Mature economies,1987,I,wyd,1,1988,6,0.7585316999999999,13689.0,14056,13816.96814901831,23062.646484375,7.585317,3872.420409700004
3449,LVA,Latvia,Mature economies,1988,I,povcal,1,1988,10,0.2653434,13712.0,7321,7573.604390386194,10428.2744140625,2.653434,3872.6857531000037
288,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,9,0.9901664000000001,13755.0,9653,12459.33873902407,23672.939453125,9.901664,3873.6759195000036
2088,GRC,Greece,Mature economies,1988,I,wyd,1,1988,9,1.0036983,13798.0,9085,10454.33926429884,16890.1953125,10.036983,3874.6796178000036
4459,PRT,Portugal,Mature economies,1989,I,wyd,1,1988,10,1.001961,14080.0,5491,8602.400777211395,15528.70703125,10.01961,3875.6815788000035
4186,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,7,0.335,14321.0,12046,10418.6015990235,19328.11328125,3.35,3876.0165788000036
1346,DEU,Germany,Mature economies,1989,I,wyd,1,1988,7,7.8144616,14686.0,13913,14466.112435404219,24801.767578125,78.144616,3883.8310404000035
137,AUS,Australia,Mature economies,1989,I,wyd,1,1988,8,1.6532200000000001,14849.0,11678,12463.26584832049,23370.16796875,16.5322,3885.4842604000037
5505,USA,United States,Mature economies,1986,I,wyd,1,1988,6,24.4499008,14861.0,16411,19491.28196162233,29269.197265625,244.499008,3909.9341612000035
2967,JPN,Japan,Mature economies,1988,I,wyd,1,1988,8,12.2613,15075.0,12709,12993.78828708804,24021.92578125,122.613,3922.1954612000036
4068,NLD,Netherlands,Mature economies,1987,I,wyd,1,1988,9,1.4760094,15075.0,9574,12143.27512491104,23805.724609375,14.760094,3923.6714706000034
619,BRA,Brazil,L. America & Carib.,1988,I,povcal,1,1988,10,14.447038399999999,15081.0,3069,3701.521233916012,7519.3427734375,144.470384,3938.1185090000035
176,AUT,Austria,Mature economies,1987,I,wyd,1,1988,7,0.7585316999999999,15204.0,14056,13816.96814901831,23062.646484375,7.585317,3938.8770407000034
1407,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,8,0.5129516,15205.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3939.3899923000035
736,CAN,Canada,Mature economies,1987,I,wyd,1,1988,7,2.6895,15207.0,14401,13931.711995178908,26127.9375,26.895,3942.0794923000035
1269,CYP,Cyprus,Mature economies,1990,I,wyd,1,1988,10,0.07365310000000001,15540.0,6221,6925.126518431175,18091.318359375,0.736531,3942.1531454000033
2659,IRL,Ireland,Mature economies,1987,I,wyd,1,1988,10,0.3524949,15603.0,5676,8159.454101445259,15347.359375,3.524949,3942.505640300003
5589,VEN,"Venezuela, RB",L. America & Carib.,1987,I,povcal,1,1988,10,1.8839278000000002,15618.0,3830,4062.6606480366795,9985.5732421875,18.839278,3944.389568100003
5459,URY,Uruguay,L. America & Carib.,1989,I,povcal,1,1988,10,0.3068166,16242.0,5041,4314.060460281531,7329.36376953125,3.068166,3944.696384700003
1818,FRA,France,Mature economies,1989,I,wyd,1,1988,9,5.7668932,16274.0,10674,13408.86583479267,23767.998046875,57.668932,3950.463277900003
2779,ISR,Israel,Mature economies,1986,I,wyd,1,1988,10,0.4442,16920.0,6303,8414.497205402651,16430.94140625,4.442,3950.907477900003
4187,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,8,0.335,16942.0,12046,10418.6015990235,19328.11328125,3.35,3951.242477900003
1347,DEU,Germany,Mature economies,1989,I,wyd,1,1988,8,7.8144616,16973.0,13913,14466.112435404219,24801.767578125,78.144616,3959.056939500003
177,AUT,Austria,Mature economies,1987,I,wyd,1,1988,8,0.7585316999999999,17063.0,14056,13816.96814901831,23062.646484375,7.585317,3959.815471200003
1629,ESP,Spain,Mature economies,1990,I,wyd,1,1988,10,3.8715848,17723.0,7030,11104.36045104772,19776.65625,38.715848,3963.687056000003
1749,FIN,Finland,Mature economies,1987,I,wyd,1,1988,10,0.4946481,17806.0,9268,10371.71359432845,21054.041015625,4.9464809999999995,3964.181704100003
5506,USA,United States,Mature economies,1986,I,wyd,1,1988,7,24.4499008,17860.0,16411,19491.28196162233,29269.197265625,244.499008,3988.631604900003
1408,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,9,0.5129516,17907.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3989.144556500003
2968,JPN,Japan,Mature economies,1988,I,wyd,1,1988,9,12.2613,18078.0,12709,12993.78828708804,24021.92578125,122.613,4001.405856500003
737,CAN,Canada,Mature economies,1987,I,wyd,1,1988,8,2.6895,18087.0,14401,13931.711995178908,26127.9375,26.895,4004.095356500003
138,AUS,Australia,Mature economies,1989,I,wyd,1,1988,9,1.6532200000000001,18784.0,11678,12463.26584832049,23370.16796875,16.5322,4005.7485765000033
3169,KOR,"Korea, Rep.",Mature economies,1988,I,wyd,1,1988,10,4.1975,19432.0,7028,5194.199906039309,9977.13671875,41.975,4009.9460765000035
178,AUT,Austria,Mature economies,1987,I,wyd,1,1988,9,0.7585316999999999,19638.0,14056,13816.96814901831,23062.646484375,7.585317,4010.7046082000033
2829,ITA,Italy,Mature economies,1986,I,wyd,1,1988,10,5.6629288,19681.0,7943,11681.59537054071,20977.615234375,56.629288,4016.3675370000033
1348,DEU,Germany,Mature economies,1989,I,wyd,1,1988,9,7.8144616,20268.0,13913,14466.112435404219,24801.767578125,78.144616,4024.181998600003
289,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,10,0.9901664000000001,20652.0,9653,12459.33873902407,23672.939453125,9.901664,4025.172165000003
4188,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,9,0.335,20687.0,12046,10418.6015990235,19328.11328125,3.35,4025.507165000003
5507,USA,United States,Mature economies,1986,I,wyd,1,1988,8,24.4499008,21485.0,16411,19491.28196162233,29269.197265625,244.499008,4049.957065800003
59,ARG,Argentina,L. America & Carib.,1987,I,povcal,1,1988,10,3.1729130000000003,22020.0,6397,9201.201876605535,8849.7685546875,31.729129999999998,4053.129978800003
1889,GBR,United Kingdom,Mature economies,1986,I,wyd,1,1988,10,5.6928328,22217.0,8978,11262.25187198989,20009.89453125,56.928328,4058.8228116000028
738,CAN,Canada,Mature economies,1987,I,wyd,1,1988,9,2.6895,22462.0,14401,13931.711995178908,26127.9375,26.895,4061.5123116000027
4069,NLD,Netherlands,Mature economies,1987,I,wyd,1,1988,10,1.4760094,22806.0,9574,12143.27512491104,23805.724609375,14.760094,4062.9883210000025
2089,GRC,Greece,Mature economies,1988,I,wyd,1,1988,10,1.0036983,23636.0,9085,10454.33926429884,16890.1953125,10.036983,4063.9920193000025
1819,FRA,France,Mature economies,1989,I,wyd,1,1988,10,5.7668932,26635.0,10674,13408.86583479267,23767.998046875,57.668932,4069.7589125000027
2969,JPN,Japan,Mature economies,1988,I,wyd,1,1988,10,12.2613,26920.0,12709,12993.78828708804,24021.92578125,122.613,4082.020212500003
5508,USA,United States,Mature economies,1986,I,wyd,1,1988,9,24.4499008,27285.0,16411,19491.28196162233,29269.197265625,244.499008,4106.470113300003
179,AUT,Austria,Mature economies,1987,I,wyd,1,1988,10,0.7585316999999999,27312.0,14056,13816.96814901831,23062.646484375,7.585317,4107.228645000003
1409,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,10,0.5129516,27387.0,12610,12008.44431545474,25000.275390625,5.129516000000001,4107.741596600003
139,AUS,Australia,Mature economies,1989,I,wyd,1,1988,10,1.6532200000000001,28953.0,11678,12463.26584832049,23370.16796875,16.5322,4109.394816600003
4189,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,10,0.335,29393.0,12046,10418.6015990235,19328.11328125,3.35,4109.729816600003
1349,DEU,Germany,Mature economies,1989,I,wyd,1,1988,10,7.8144616,31358.0,13913,14466.112435404219,24801.767578125,78.144616,4117.544278200003
739,CAN,Canada,Mature economies,1987,I,wyd,1,1988,10,2.6895,34682.0,14401,13931.711995178908,26127.9375,26.895,4120.233778200003
5509,USA,United States,Mature economies,1986,I,wyd,1,1988,10,24.4499008,43279.0,16411,19491.28196162233,29269.197265625,244.499008,4144.683679000003
